,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
above,0.649375,0.4611931818181818,0.4732954545454545,0.4771590909090909,0.6311363636363636,0.5002840909090909,0.524090909090909,0.2965909090909091,0.48420454545454544,0.4703977272727272,0.7255113636363636,0.4954545454545455,0.5448295454545454,0.6564204545454545,0.27909090909090906,0.4230681818181818,0.538125,0.3174431818181818,0.42528409090909086,0.4953409090909091,0.6601136363636364,0.4709090909090909,0.6608522727272728,0.6580681818181818,0.20301136363636363,0.18670454545454546,0.2741477272727273,0.535,0.6890340909090908,0.6285795454545454,0.2529545454545455,0.41448863636363636,0.5159090909090909,0.4410795454545454,0.4955681818181818,0.6151704545454545,0.6200568181818181,0.3760795454545454,0.4081818181818182,0.6142613636363636,0.5986931818181819,0.1640340909090909,0.2761363636363636,0.4989772727272727,0.5228409090909091,0.18568181818181817,0.3832954545454545,0.515625,0.51,0.45142045454545454,0.47374999999999995,0.6089204545454545,0.5915340909090909,0.4113636363636364,0.5217613636363636,0.6221590909090909,0.2943181818181818,0.5595454545454546,0.5573295454545455,0.38539772727272725,0.537159090909091,0.42840909090909096,0.41568181818181815,0.5894318181818181,0.5499999999999999,0.5857386363636364,0.5138636363636363,0.5861363636363636,0.5657954545454545,0.6432386363636364,0.5565340909090909
angry,0.22565000000000002,0.3236,0.22330000000000003,0.3044,0.18575,0.3318,0.21885000000000002,0.3639,0.21955,0.3353,0.13695000000000002,0.30165,0.28195,0.1648,0.36515000000000003,0.2347,0.1487,0.4242,0.29555,0.35985,0.1226,0.23804999999999998,0.16125,0.10705,0.6940000000000001,0.6004,0.4611,0.22905,0.18305,0.19094999999999998,0.57145,0.36634999999999995,0.1923,0.40945,0.42884999999999995,0.1715,0.15,0.35765,0.25370000000000004,0.14805,0.12805,0.47204999999999997,0.3943,0.2211,0.2207,0.5985,0.44875,0.26925,0.6204,0.67215,0.3247,0.17809999999999998,0.1491,0.29175,0.21155000000000002,0.16415,0.39380000000000004,0.24505,0.20579999999999998,0.51235,0.34700000000000003,0.61395,0.8253,0.19725,0.24605,0.19325,0.2562,0.20015,0.27735,0.30125,0.46140000000000003
apple,0.07209183673469387,0.06438775510204083,0.07285714285714286,0.07801020408163264,0.0651530612244898,0.09423469387755101,0.07377551020408164,0.08265306122448979,0.08056122448979593,0.10704081632653062,0.08714285714285713,0.07841836734693877,0.07795918367346938,0.0898469387755102,0.07076530612244898,0.11443877551020408,0.14372448979591837,0.11979591836734695,0.1432142857142857,0.17918367346938774,0.0889795918367347,0.11892857142857143,0.10448979591836735,0.10265306122448978,0.06408163265306123,0.05959183673469388,0.07678571428571429,0.0948469387755102,0.11795918367346939,0.1284183673469388,0.38816326530612244,0.3166326530612245,0.2695918367346939,0.3284183673469388,0.2811734693877551,0.2645918367346939,0.26591836734693874,0.47775510204081634,0.5283163265306122,0.3447959183673469,0.27668367346938777,0.23530612244897958,0.20918367346938777,0.28862244897959183,0.2606122448979592,0.3560204081632653,0.3271428571428572,0.2503061224489796,0.664795918367347,0.701530612244898,0.6464285714285715,0.5973979591836734,0.5097448979591837,0.5568877551020408,0.5291836734693878,0.4364795918367347,0.28903061224489796,0.3641326530612245,0.32979591836734695,0.25010204081632653,0.2573469387755102,0.36556122448979594,0.8515816326530612,0.5901530612244898,0.6495918367346939,0.5879591836734693,0.4650510204081633,0.42770408163265305,0.35321428571428576,0.3433673469387755,0.28494897959183674
banana,0.0673469387755102,0.061785714285714284,0.07020408163265306,0.06704081632653061,0.06673469387755102,0.06709183673469388,0.07887755102040817,0.0638265306122449,0.0748469387755102,0.07887755102040817,0.08306122448979593,0.07147959183673469,0.07596938775510205,0.0725,0.06362244897959184,0.07107142857142856,0.08489795918367347,0.07137755102040816,0.07974489795918367,0.08392857142857142,0.07933673469387756,0.08846938775510205,0.07750000000000001,0.07933673469387756,0.12045918367346939,0.10020408163265307,0.08724489795918368,0.09918367346938776,0.11846938775510203,0.1083673469387755,0.09826530612244899,0.09540816326530611,0.0978061224489796,0.09627551020408164,0.07714285714285714,0.18979591836734697,0.1469387755102041,0.25198979591836734,0.3273979591836735,0.2398979591836735,0.23387755102040814,0.24785714285714286,0.27602040816326534,0.43234693877551017,0.4926020408163265,0.20994897959183673,0.17091836734693877,0.14612244897959184,0.08571428571428572,0.09709183673469389,0.3031632653061225,0.3275510204081633,0.27785714285714286,0.3098469387755102,0.41892857142857143,0.484234693877551,0.45612244897959187,0.7486224489795917,0.7118877551020408,0.19693877551020408,0.2595408163265306,0.11959183673469388,0.08433673469387756,0.28275510204081633,0.3275510204081633,0.34173469387755107,0.4934183673469387,0.5790816326530612,0.7972448979591836,0.8795918367346939,0.4061734693877551
beach,0.7585,0.5757777777777778,0.23255555555555554,0.2132777777777778,0.7643333333333334,0.6135,0.3646666666666667,0.19244444444444445,0.2078888888888889,0.2654444444444444,0.81,0.5573888888888889,0.6751111111111111,0.6846666666666666,0.17,0.25372222222222224,0.30233333333333334,0.15766666666666665,0.28694444444444445,0.29750000000000004,0.7032777777777778,0.5181666666666667,0.6871666666666667,0.7223333333333334,0.10194444444444445,0.1806111111111111,0.20933333333333334,0.3191666666666667,0.45822222222222225,0.4302777777777778,0.15433333333333335,0.26683333333333337,0.43449999999999994,0.32433333333333336,0.307,0.4361666666666667,0.5203333333333333,0.1947222222222222,0.28938888888888886,0.3698333333333333,0.45177777777777783,0.2457222222222222,0.4945555555555555,0.6722777777777778,0.6981111111111111,0.2733333333333334,0.4191111111111111,0.5932777777777778,0.3362777777777778,0.3116111111111111,0.22361111111111112,0.3507222222222222,0.41483333333333333,0.2687222222222222,0.40205555555555555,0.4323333333333333,0.3833888888888889,0.6935,0.7410555555555555,0.38916666666666666,0.6126666666666667,0.33055555555555555,0.23733333333333334,0.3032222222222222,0.3208888888888889,0.3473888888888889,0.3570555555555555,0.44961111111111113,0.5951111111111111,0.7061111111111111,0.5566111111111111
bear,0.168,0.22394444444444445,0.10027777777777779,0.09022222222222223,0.21505555555555556,0.268,0.11333333333333333,0.1522222222222222,0.08761111111111111,0.07177777777777777,0.1633888888888889,0.31622222222222224,0.27611111111111114,0.2341111111111111,0.15016666666666667,0.16477777777777777,0.11338888888888889,0.16849999999999998,0.11455555555555556,0.0905,0.14049999999999999,0.2535,0.23072222222222222,0.19055555555555553,0.7980555555555556,0.6468888888888888,0.5272222222222223,0.541611111111111,0.5738888888888889,0.6068888888888888,0.418,0.2901111111111111,0.17838888888888887,0.15761111111111112,0.12905555555555556,0.15444444444444444,0.11338888888888889,0.4623333333333333,0.4415,0.21333333333333332,0.2298888888888889,0.7313333333333333,0.7139444444444444,0.5644444444444444,0.5236666666666667,0.8392777777777778,0.6392777777777777,0.36194444444444446,0.32933333333333337,0.1882777777777778,0.3078333333333333,0.20816666666666667,0.1971111111111111,0.33599999999999997,0.2823333333333333,0.25355555555555553,0.5446666666666667,0.40650000000000003,0.4072777777777778,0.6214444444444445,0.4184444444444444,0.32933333333333337,0.28455555555555556,0.16516666666666666,0.21333333333333332,0.19794444444444445,0.21916666666666668,0.18305555555555553,0.3626666666666667,0.30577777777777776,0.3815
below,0.4260795454545454,0.5298863636363637,0.4273863636363636,0.39272727272727276,0.4943181818181818,0.5606818181818182,0.4844318181818182,0.5222159090909091,0.3855681818181818,0.330625,0.3169318181818182,0.6146590909090909,0.5525568181818182,0.3788636363636364,0.557215909090909,0.44238636363636363,0.3680113636363636,0.5152840909090909,0.38528409090909094,0.3406818181818182,0.2796590909090909,0.5553977272727273,0.39704545454545453,0.35613636363636364,0.8479545454545455,0.706875,0.6160227272727273,0.408125,0.32375,0.34698863636363636,0.5713068181818182,0.519715909090909,0.3468181818181818,0.4073295454545454,0.32994318181818183,0.3619886363636364,0.29875,0.6091477272727274,0.5739204545454546,0.39607954545454543,0.36471590909090906,0.6444318181818182,0.5630113636363636,0.45749999999999996,0.40488636363636366,0.6579545454545455,0.5586363636363637,0.3883522727272727,0.43153409090909095,0.3527840909090909,0.5304545454545454,0.4110227272727273,0.3423863636363636,0.5738068181818181,0.42136363636363633,0.3834090909090909,0.524375,0.43250000000000005,0.3830681818181818,0.5161363636363636,0.38528409090909094,0.5169886363636363,0.4860227272727272,0.34568181818181815,0.3603977272727273,0.3064772727272727,0.3966477272727273,0.30857954545454547,0.3433522727272727,0.27835227272727275,0.4084090909090909
beside,0.4894886363636364,0.4091477272727273,0.431875,0.4299431818181818,0.4732386363636364,0.43732954545454544,0.5089204545454545,0.47409090909090906,0.4540340909090909,0.4377840909090909,0.527784090909091,0.5039204545454545,0.49670454545454545,0.5066477272727273,0.393125,0.4678977272727272,0.49875,0.4610795454545455,0.5267613636363636,0.48613636363636364,0.41147727272727275,0.48164772727272726,0.49982954545454544,0.4888636363636364,0.38369318181818185,0.40676136363636367,0.45772727272727276,0.40284090909090914,0.4698295454545454,0.5006818181818182,0.4493181818181818,0.4753409090909091,0.5353977272727273,0.5282386363636363,0.46761363636363634,0.49187500000000006,0.47107954545454545,0.48301136363636366,0.49732954545454544,0.49215909090909093,0.43539772727272724,0.3498863636363636,0.40920454545454543,0.4907386363636364,0.4616477272727273,0.385,0.4139204545454545,0.49017045454545455,0.4978409090909091,0.474375,0.4576136363636364,0.46664772727272724,0.4809090909090909,0.45329545454545456,0.5163636363636364,0.4132386363636364,0.39403409090909086,0.4938636363636364,0.4642045454545455,0.4349431818181818,0.4213068181818182,0.4300568181818182,0.38431818181818184,0.41801136363636365,0.4606818181818182,0.43227272727272725,0.4435227272727273,0.4196590909090909,0.41556818181818184,0.46727272727272723,0.4374431818181818
bird,0.5597222222222222,0.48527777777777775,0.3604444444444444,0.2846666666666667,0.5628333333333333,0.5074444444444445,0.34872222222222227,0.23866666666666667,0.24122222222222223,0.3045555555555556,0.5650555555555555,0.5497777777777777,0.5673333333333334,0.4776111111111111,0.3188888888888889,0.3277777777777778,0.32572222222222225,0.2811666666666667,0.28705555555555556,0.3054444444444444,0.3506111111111111,0.43766666666666665,0.4231111111111111,0.4947777777777778,0.5425555555555556,0.5867222222222223,0.5231111111111111,0.5607222222222222,0.6353333333333333,0.6411111111111112,0.4227222222222222,0.40194444444444444,0.3861111111111111,0.3797222222222222,0.33977777777777773,0.2923888888888889,0.2763333333333333,0.5042777777777777,0.48305555555555557,0.40511111111111114,0.37844444444444447,0.5345,0.5166666666666667,0.6026666666666667,0.5705,0.5599444444444445,0.6047222222222222,0.5172222222222221,0.5075555555555555,0.36722222222222217,0.4961666666666667,0.44366666666666665,0.38172222222222224,0.4821111111111111,0.44499999999999995,0.37244444444444447,0.5087777777777778,0.6187222222222223,0.6128333333333333,0.5916111111111111,0.5761111111111111,0.5618333333333333,0.5184444444444444,0.3617222222222222,0.36594444444444446,0.39549999999999996,0.3623888888888889,0.40549999999999997,0.537611111111111,0.627,0.5877777777777777
blizzard,0.7150961538461539,0.5977884615384615,0.4117788461538462,0.20259615384615384,0.6978365384615385,0.6434134615384616,0.47495192307692313,0.2116346153846154,0.2617307692307692,0.205625,0.7294711538461538,0.6766346153846154,0.7585576923076923,0.8099519230769231,0.26302884615384614,0.3072596153846154,0.3139423076923077,0.1956730769230769,0.18697115384615384,0.16572115384615385,0.6160096153846154,0.4318269230769231,0.6983653846153846,0.7683173076923077,0.44461538461538463,0.5227884615384616,0.6655288461538462,0.798125,0.8822115384615384,0.8755769230769231,0.22048076923076923,0.21572115384615384,0.22375,0.17812499999999998,0.16028846153846155,0.3083653846153846,0.3908173076923077,0.12235576923076923,0.17841346153846155,0.233125,0.38389423076923074,0.18091346153846155,0.24927884615384616,0.40591346153846153,0.49725961538461544,0.1416346153846154,0.16028846153846155,0.2166826923076923,0.18716346153846153,0.17677884615384615,0.11341346153846153,0.11254807692307692,0.14639423076923078,0.1370673076923077,0.1576923076923077,0.21461538461538462,0.19158653846153847,0.19884615384615384,0.24822115384615387,0.15951923076923077,0.17048076923076924,0.18240384615384614,0.16163461538461538,0.12052884615384615,0.10399038461538461,0.12360576923076924,0.14120192307692309,0.13692307692307693,0.1757692307692308,0.14533653846153846,0.1375480769230769
